吊索渗水,1,完好,-
吊索渗水,2,有轻微渗水现象,-
吊索渗水,3,个别构件防水渗透装置损坏，明显渗水，构件有锈蚀现象,-
吊索渗水,4,较多构件防水渗透装置损坏，多处构件明显渗水，构件渗水处伴有较严重锈蚀现象,-
吊索锈蚀,1,完好,-
吊索锈蚀,2,表面有少量油脂和污垢，没有附着不牢的氧化皮、铁锈和油漆层，或表面有少量点蚀、锈斑，或镀锌钢丝出现锌腐蚀亮斑,-
吊索锈蚀,3,表面普遍有点蚀、锈斑、锈坑，或氧化皮、油漆层因锈蚀而部分剥落或者可以刮除，或钢丝发生较严重锈蚀，或镀锌钢丝锌层出现铁腐蚀斑点和腐坑,锈蚀面积≤构件面积5%，或构件表面锈蚀孔洞≤2个
吊索锈蚀,4,表面普遍有点蚀现象，氧化皮或油漆层因锈蚀而全面剥离，或钢丝发生较严重锈蚀并有部分断裂，或镀锌钢丝严重腐蚀有开裂现象,锈蚀面积＞构件面积5%，或构件表面锈蚀孔洞＞2个
吊索锚头损坏,1,完好,-
吊索锚头损坏,2,个别锚头轻微破损,-
吊索锚头损坏,3,个别锚头破损、松动,-
吊索锚头损坏,4,较多锚头破损、松动或裂缝，个别冷铸锚头破损严重或裂缝超限，严重影响构件安全,-
吊索橡胶老化变质,1,完好,-
吊索橡胶老化变质,2,吊索端部及减振器部位橡胶轻微老化，表面有脏污；或减振措施极个别处表面轻微损坏,-
吊索橡胶老化变质,3,吊索端部及减振器部位橡胶老化变形；或减振措施个别处出现松动或损坏,-
吊索橡胶老化变质,4,吊索端部及减振器部位橡胶老化变形，并有破裂现象，局部还造成渗水；或减振措施出现较多处损坏，失去效用,-
吊索掉漆、起皮,1,完好,-
吊索掉漆、起皮,2,吊索表面局部面漆变色、起泡,累计面积≤构件面积的5%
吊索掉漆、起皮,3,吊索表面较大范围面漆轻微起皮、起泡或剥落,累计面积＞构件面积的5%且≤构件面积的15%
吊索掉漆、起皮,4,吊索表面较大范围面漆起皮、起泡或剥落,累计面积＞构件面积的15%
吊索防护套破坏,1,完好,-
吊索防护套破坏,2,个别防护套及连接处轻微松动,-
吊索防护套破坏,3,部分防护套以及连接处松动或套管顶没有密封,-
吊索防护套破坏,4,较多防护套以及连接处松动或套管顶没有密封，局部造成渗水,-
吊索的防护层破坏,1,完好,-
吊索的防护层破坏,2,个别吊索防护层轻微老化或破损,-
吊索的防护层破坏,3,个别吊索防护层老化、破损、裂纹,-
吊索的防护层破坏,4,吊索防护层老化、破损、裂纹或积水，造成局部渗水或锈蚀并伴有钢丝严重锈蚀现象,-
吊索钢丝断丝,1,完好,-
吊索钢丝断丝,2,-,-
吊索钢丝断丝,3,钢丝少量锈蚀，无断丝,-
吊索钢丝断丝,4,钢丝锈蚀，防腐层有大量麻坑，甚至出现断丝,-
吊索钢丝断丝,5,吊索钢丝大量严重锈蚀或损坏，钢丝断裂，甚至主梁出现变形，造成安全隐患,-
