索夹错位、滑移,1,无移动,-
索夹错位、滑移,2,-,-
索夹错位、滑移,3,个别索夹有错位、移动,滑移量≤10mm
索夹错位、滑移,4,较多索夹有明显错位、滑动现象；个别索夹位移超限,滑移量＞10mm
索夹面漆起皮,1,完好,-
索夹面漆起皮,2,索夹面漆局部起皮,索夹起皮的数量≤总数量的5%
索夹面漆起皮,3,索夹面漆局部起皮，并伴有锈蚀,索夹起皮的数量＞总数量的5%且≤总数量的20%
索夹面漆起皮,4,索夹面漆起皮，锈蚀严重,索夹起皮、锈蚀的数量＞总数量的20%
索夹密封填料损坏,1,完好,-
索夹密封填料损坏,2,索夹填料局部轻微老化，表面有脏污,数量≤总数量的3%
索夹密封填料损坏,3,索夹填料老化、局部有开裂剥落，部分发生变形,数量＞总数量的3%且≤总数量的10%
索夹密封填料损坏,4,索夹填料老化、局部有开裂剥落,数量＞总数量的10%
索夹裂纹和锈蚀,1,完好,-
索夹裂纹和锈蚀,2,索夹个别部位出现明显轻微裂纹，或表面有少量点蚀、锈斑,-
索夹裂纹和锈蚀,3,大量索夹外观有较多明显裂缝，或表面普遍有点蚀、锈斑或锈坑,-
索夹裂纹和锈蚀,4,大量夹壁开裂，索夹眼板开裂，索夹严重锈蚀,-
