实腹拱的侧墙与主拱圈脱裂,1,完好,-
实腹拱的侧墙与主拱圈脱裂,2,个别位置出现脱裂，缝宽较小且不连续,-
实腹拱的侧墙与主拱圈脱裂,3,侧墙与主拱圈间较大范围出现断裂、脱开，且断裂脱开连续,-
实腹拱的侧墙与主拱圈脱裂,4,侧墙与主拱圈间大范围出现断裂、脱开，且断裂脱开连续，结构出现变形,-
实腹拱的侧墙与主拱圈脱裂,5,侧墙与主拱圈间严重脱裂，造成桥面板严重塌落，结构或桥面变形过大,-
侧墙变形,1,完好,-
侧墙变形,2,-,-
侧墙变形,3,侧墙出现鼓肚现象,-
侧墙变形,4,侧墙出现倾斜、外移等变形现象，填料出现轻微沉陷,-
侧墙变形,5,侧墙产生严重倾斜、外移、鼓肚等现象，导致桥面出现塌陷或沉降，变形大于限值或不能正常行车,-
拱上填料沉陷或开裂,1,完好,-
拱上填料沉陷或开裂,2,拱上填料出现轻微沉陷或开裂,-
拱上填料沉陷或开裂,3,拱上填料出现明显沉陷或开裂，但变形不影响正常行车,-
拱上填料沉陷或开裂,4,拱上填料出现严重沉陷或开裂，导致桥面出现塌陷或沉降，变形过大，不能正常行车,-
空腹拱腹拱、横向联结系变形、错位,1,完好,-
空腹拱腹拱、横向联结系变形、错位,2,-,-
空腹拱腹拱、横向联结系变形、错位,3,个别腹拱或横向联结系出现变形、错位，但不影响行车,-
空腹拱腹拱、横向联结系变形、错位,4,较多腹拱或横向联结系出现变形、错位，影响正常行车,-
空腹拱腹拱、横向联结系变形、错位,5,腹拱或横向联结系产生严重变形、错位，导致桥面出现严重塌陷或沉降，变形过大，不能正常行车，造成安全隐患,-
立墙或立柱倾斜,1,完好,-
立墙或立柱倾斜,2,-,-
立墙或立柱倾斜,3,个别立墙或立柱出现轻微倾斜,-
立墙或立柱倾斜,4,较多立墙或立柱出现倾斜，影响正常行车,-
立墙或立柱倾斜,5,立墙或立柱产生严重倾斜.桥面出现严重塌陷或沉降，变形过大、不能正常行车,-
表面缺陷,1,完好,-
表面缺陷,2,出现蜂窝麻面、剥落、掉角、空洞、孔洞、碳化、腐蚀等现象,累计面积≤构件面积的10%，单处面积≤1.0m^2
表面缺陷,3,较大面积出现蜂窝麻面、剥落、掉角、空洞、孔洞等现象；或部分位置出现碳化，局部碳化深度大于混凝土保护层厚度；或混凝土受到腐蚀、冻融，钢筋出现锈蚀或混凝土胀裂,累计面积＞构件面积的10%且≤构件面积的20%，单处面积＞1.0m^2
表面缺陷,4,大面积出现严重空洞、孔洞、剥落、掉角现象；或大部分位置碳化，碳化深度大于混凝土保护层厚度，混凝土表面胶凝料大量松散粉化；或构件腐蚀、冻融，钢筋大量锈蚀或混凝土胀裂,累计面积＞构件面积的20%，单处面积＞1.0m^2
拱上立柱(立墙)上下端水平裂缝,1,完好,-
拱上立柱(立墙)上下端水平裂缝,2,少量裂缝，缝宽未超限,缝长≤立柱直径或立墙截面长的1/8
拱上立柱(立墙)上下端水平裂缝,3,较多裂缝，缝宽未超限,缝长＞立柱直径或立墙截面长的1/8且≤立柱直径或立墙截面长的1/2
拱上立柱(立墙)上下端水平裂缝,4,有大量裂缝，部分缝宽超限,缝长＞立柱直径或立墙截面长的1/2
盖梁和横系梁裂缝,1,完好,-
盖梁和横系梁裂缝,2,少量裂缝，缝宽未超限,缝长≤截面尺寸的1/3
盖梁和横系梁裂缝,3,较多裂缝，缝宽未超限,缝长＞截面尺寸的1/3且≤截面尺寸的1/2，间距≥20cm
盖梁和横系梁裂缝,4,有大量裂缝，部分缝宽超限,缝长＞截面尺寸的1/2，间距＜20cm
腹拱拱顶、拱脚径向裂缝,1,完好,-
腹拱拱顶、拱脚径向裂缝,2,少量裂缝，缝宽未超限,缝长≤截面尺寸的1/3
腹拱拱顶、拱脚径向裂缝,3,较多裂缝，缝宽未超限,缝长＞截面尺寸的1/3且≤截面尺寸的2/3
腹拱拱顶、拱脚径向裂缝,4,有大量裂缝，部分缝宽超限,缝长＞截面尺寸的2/3
梁板跨中竖向裂缝,1,完好,-
梁板跨中竖向裂缝,2,少量裂缝，缝宽未超限,缝长≤截面尺寸的1/3
梁板跨中竖向裂缝,3,较多裂缝，缝宽未超限,缝长＞截面尺寸的1/2且≤截面尺寸的2/3，间距≥20cm
梁板跨中竖向裂缝,4,有大量裂缝，部分缝宽超限,缝长＞截面尺寸的2/3，间距<20cm
拱上填料排水不畅,1,完好,-
拱上填料排水不畅,2,排水不畅，导致侧墙出现渗水,-
拱上填料排水不畅,3,排水不畅，填土聚积水分，导致侧墙出现轻微鼓肚,-
拱上填料排水不畅,4,排水不畅，填土聚积大量水分，导致侧墙出现大量渗水，侧墙出现鼓肚、松动,-
