翼墙破损,1,完好,-
翼墙破损,2,局部混凝土出现空洞、孔洞、剥落，或砖石表面小块脱落,累计面积≤构件面积的5%，单处面积≤0.5m^2
翼墙破损,3,较大范围混凝土或砖石出现空洞、孔洞、剥落,累计面积＞构件面积的5%且≤构件面积的20%，单处面积≤1.0m^2
翼墙破损,4,大范围混凝土或砖石出现空洞、孔洞、剥落,累计面积＞构件面积的20%
翼墙位移,1,完好,-
翼墙位移,2,-,-
翼墙位移,3,存在明显的永久变形，但无明显的外倾、下沉，或出现填料损失，但仍可起到挡土的作用,-
翼墙位移,4,有下沉、滑动现象，造成翼墙断裂，外倾失稳，砌体变形，部分倒塌，或填料严重流失，失去挡土功能,-
翼墙鼓肚,1,完好,-
翼墙鼓肚,2,局部鼓肚，砌体松动,-
翼墙鼓肚,3,大面积鼓肚，砌体松动,-
翼墙鼓肚,4,大面积鼓肚，砌体松动，甚至出现严重渗漏,-
翼墙砌体松动,1,完好,-
翼墙砌体松动,2,局部鼓肚，砌体松动,-
翼墙砌体松动,3,大面积鼓肚，砌体松动,-
翼墙砌体松动,4,大面积鼓肚，砌体松动，甚至出现严重渗漏,-
翼墙裂缝,1,完好或有轻微网裂,网裂总面积≤10%
翼墙裂缝,2,较多网裂。出现个别裂缝，缝宽未超限,网裂总面积＞10%
翼墙裂缝,3,出现多处裂缝，未贯通，缝宽超限，或翼墙或耳墙有断裂，与前墙脱开现象,-
翼墙裂缝,4,出现通缝，裂缝超限，或翼墙或耳墙断裂，与前墙完全脱开,-
耳墙破损,1,完好,-
耳墙破损,2,局部混凝土出现空洞、孔洞、剥落，或砖石表面小块脱落,累计面积≤构件面积的5%，单处面积≤0.5m^2
耳墙破损,3,较大范围混凝土或砖石出现空洞、孔洞、剥落,累计面积＞构件面积的5%且≤构件面积的20%，单处面积≤1.0m^2
耳墙破损,4,大范围混凝土或砖石出现空洞、孔洞、剥落,累计面积＞构件面积的20%
耳墙位移,1,完好,-
耳墙位移,2,-,-
耳墙位移,3,存在明显的永久变形，但无明显的外倾、下沉，或出现填料损失，但仍可起到挡土的作用,-
耳墙位移,4,有下沉、滑动现象，造成翼墙断裂，外倾失稳，砌体变形，部分倒塌，或填料严重流失，失去挡土功能,-
耳墙鼓肚,1,完好,-
耳墙鼓肚,2,局部鼓肚，砌体松动,-
耳墙鼓肚,3,大面积鼓肚，砌体松动,-
耳墙鼓肚,4,大面积鼓肚，砌体松动，甚至出现严重渗漏,-
耳墙砌体松动,1,完好,-
耳墙砌体松动,2,局部鼓肚，砌体松动,-
耳墙砌体松动,3,大面积鼓肚，砌体松动,-
耳墙砌体松动,4,大面积鼓肚，砌体松动，甚至出现严重渗漏,-
耳墙裂缝,1,完好或有轻微网裂,网裂总面积≤10%
耳墙裂缝,2,较多网裂。出现个别裂缝，缝宽未超限,网裂总面积＞10%
耳墙裂缝,3,出现多处裂缝，未贯通，缝宽超限，或翼墙或耳墙有断裂，与前墙脱开现象,-
耳墙裂缝,4,出现通缝，裂缝超限，或翼墙或耳墙断裂，与前墙完全脱开,-
